,Access to Medical Care,Civil Liberties,Civil Unrest,Conflict or Warfare,Crime,Cybersecurity,Infectious Diseases,Kidnapping or Hostage Taking,Natural Disasters,Terrorism,Wrongful Detention,Risk Tier,Risk Tier Meaning,Common Name,Risk Factors,Access to medical care,Civil liberties,Civil unrest,Conflict or warfare,Crime,Cybersecurity,Infectious diseases,Kidnapping or hostage taking,Natural disasters,Terrorism,Wrongful detention
Afghanistan,1,1,1,1,1,1,1,1,0,1,1,5,High,Afghanistan,"Access to Medical Care, Civil Liberties, Civil Unrest, Conflict or Warfare, Crime, Cybersecurity, Infectious Diseases, Kidnapping or Hostage Taking, Terrorism, Wrongful Detention",Access to medical care is a key risk consideration when traveling to Afghanistan. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Afghanistan. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Afghanistan. Travelers should take enhanced precautions.,Conflict or warfare is a key risk consideration when traveling to Afghanistan. Travelers should take enhanced precautions.,Crime is a key risk consideration when traveling to Afghanistan. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Afghanistan. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Afghanistan. Travelers should take enhanced precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Afghanistan. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Afghanistan. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Afghanistan. Travelers should take enhanced precautions.,Wrongful detention is a key risk consideration when traveling to Afghanistan. Travelers should take enhanced precautions.
Albania,0,0,0,0,1,0,0,0,0,0,0,1,Standard,Albania,Crime,Access to medical care is not normally a key risk consideration when traveling to Albania. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Albania. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Albania. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Albania. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Albania. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Albania. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Albania. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Albania. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Albania. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Albania. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Albania. Travelers should take normal precautions.
Algeria,1,1,0,0,1,1,1,1,0,1,0,3,Elevated,Algeria,"Access to Medical Care, Civil Liberties, Crime, Cybersecurity, Infectious Diseases, Kidnapping or Hostage Taking, Terrorism",Access to medical care is a key risk consideration when traveling to Algeria. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Algeria. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Algeria. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Algeria. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Algeria. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Algeria. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Algeria. Travelers should take enhanced precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Algeria. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Algeria. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Algeria. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Algeria. Travelers should take normal precautions.
Andorra,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Andorra,None,Access to medical care is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Andorra. Travelers should take normal precautions.
Angola,1,1,0,0,1,0,1,0,0,0,0,2,Moderate,Angola,"Access to Medical Care, Civil Liberties, Crime, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Angola. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Angola. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Angola. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Angola. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Angola. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Angola. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Angola. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Angola. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Angola. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Angola. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Angola. Travelers should take normal precautions.
Anguilla,1,0,0,0,0,0,0,0,0,0,0,1,Standard,Anguilla,Access to Medical Care,Access to medical care is a key risk consideration when traveling to Anguilla. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Anguilla. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Anguilla. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Anguilla. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Anguilla. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Anguilla. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Anguilla. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Anguilla. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Anguilla. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Anguilla. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Anguilla. Travelers should take normal precautions.
Antarctica,0,0,0,0,0,0,0,0,1,0,0,5,High,Antarctica,Natural Disasters,Access to medical care is not normally a key risk consideration when traveling to Antarctica. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Antarctica. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Antarctica. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Antarctica. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Antarctica. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Antarctica. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Antarctica. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Antarctica. Travelers should take normal precautions.,Natural disasters is a key risk consideration when traveling to Antarctica. Travelers should take enhanced precautions.,Terrorism is not normally a key risk consideration when traveling to Antarctica. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Antarctica. Travelers should take normal precautions.
Antigua and Barbuda,1,0,0,0,0,0,0,0,0,0,0,1,Standard,Antigua and Barbuda,Access to Medical Care,Access to medical care is a key risk consideration when traveling to Antigua and Barbuda. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Antigua and Barbuda. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Antigua and Barbuda. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Antigua and Barbuda. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Antigua and Barbuda. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Antigua and Barbuda. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Antigua and Barbuda. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Antigua and Barbuda. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Antigua and Barbuda. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Antigua and Barbuda. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Antigua and Barbuda. Travelers should take normal precautions.
Argentina,0,0,0,0,1,0,0,0,0,0,0,1,Standard,Argentina,Crime,Access to medical care is not normally a key risk consideration when traveling to Argentina. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Argentina. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Argentina. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Argentina. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Argentina. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Argentina. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Argentina. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Argentina. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Argentina. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Argentina. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Argentina. Travelers should take normal precautions.
Armenia,1,1,0,1,0,1,1,0,0,0,0,3,Elevated,Armenia,"Access to Medical Care, Civil Liberties, Conflict or Warfare, Cybersecurity, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Armenia. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Armenia. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Armenia. Travelers should take normal precautions.,Conflict or warfare is a key risk consideration when traveling to Armenia. Travelers should take enhanced precautions.,Crime is not normally a key risk consideration when traveling to Armenia. Travelers should take normal precautions.,Cybersecurity is a key risk consideration when traveling to Armenia. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Armenia. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Armenia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Armenia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Armenia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Armenia. Travelers should take normal precautions.
